instance,related,sen_score,stem
experience,suffering bad,-1.75,suffering bad
app,worthless capture,-1.6,worthless captur
experience,cancelled pathetic,-1.55,cancelled pathet
app,bogus fraud,-1.5,bogus fraud
service,disappointed poor,-1.5,disappointed poor
service,poor disgusting,-1.5,poor disgust
app,worst torture,-1.5,worst tortur
experience,painful regret,-1.25,painful regret
payment,fail cheap,-1.25,fail cheap
response,poor bad,-1.25,poor bad
service,useless worst,-1.25,useless worst
support,worst pathetic,-1.25,worst pathet
support,fools suspended,-1.1,fools suspend
service,exhibiting lies,-1,exhibiting li
app,unstable,-1,unstabl
app,misleading,-1,mislead
app,plz error,-1,plz error
app,really disappointed,-1,really disappoint
app,seems problematic,-1,seems problemat
app,technical glitches,-1,technical glitch
app,unstable momment,-1,unstable mom
app,unstable neu,-1,unstable neu
app,worthless,-1,worthless
call,update miserable,-1,update miser
update,miserable,-1,miser
experience,totally disappointing,-1,totally disappoint
experience,unstable,-1,unstabl
update,miserable experience,-1,miserable experi
app,disappointed,-1,disappoint
service,unfortunately customer,-1,unfortunately custom
experience,clueless worst,-1,clueless worst
payment,disappointed,-1,disappoint
response,disappointed,-1,disappoint
service,disappointing,-1,disappoint
service,disgusting,-1,disgust
support,fraudster,-1,fraudster
app,glitches,-1,glitch
customer care,harassment,-1,harass
service,highly disappointing,-1,highly disappoint
service,hopeless customer,-1,hopeless custom
app,many glitches,-1,many glitch
experience,miserable,-1,miser
app,much disappointed,-1,much disappoint
service,pathetic slow,-1,pathetic slow
support,scamster fraudster,-1,scamster fraudst
payment,slightly disappointed,-1,slightly disappoint
response,stupid,-1,stupid
response,time stupid,-1,time stupid
app,torture,-1,tortur
experience,update miserable,-1,update miser
payment,failure pay,-0.85,failure pai
app,erroneously,-0.8,erron
app,erroneously showing,-0.8,erroneously show
service,duped,-0.8,dupe
customer care,cancelled,-0.8,cancel
resolve,problem,-0.75,problem
app,incompetent,-0.75,incompet
app,incompetent staff,-0.75,incompetent staff
app,bad,-0.75,bad
resolve,problem since,-0.75,problem sinc
resolve,problem till,-0.75,problem til
service,bad,-0.75,bad
service,pathetic,-0.75,pathet
app,bad condition,-0.75,bad condit
app,bad experience,-0.75,bad experi
app,bad service,-0.75,bad servic
app,fail,-0.75,fail
app,fail neu,-0.75,fail neu
app,horrible,-0.75,horribl
app,horrible terms,-0.75,horrible term
app,migration failure,-0.75,migration failur
app,phone pathetic,-0.75,phone pathet
app,ruined,-0.75,ruin
app,time lag,-0.75,time lag
app,unreliable,-0.75,unreli
app,unreliable need,-0.75,unreliable ne
app,want blame,-0.75,want blam
service,misguided,-0.75,misguid
call,problem,-0.75,problem
customer care,bothering,-0.75,bother
response,useless,-0.75,useless
payment,fail,-0.75,fail
interface,bad,-0.75,bad
refund,denied,-0.75,deni
experience,bad,-0.75,bad
experience,badly,-0.75,badli
experience,problem,-0.75,problem
experience,really pathetic,-0.75,really pathet
experience,regret,-0.75,regret
experience,regret ordering,-0.75,regret ord
interface,bad make,-0.75,bad mak
payment,failing,-0.75,fail
payment,failing bill,-0.75,failing bil
payment,failure,-0.75,failur
payment,order cancel,-0.75,order cancel
payment,reversal unhappy,-0.75,reversal unhappi
payment,system bad,-0.75,system bad
service,wasted,-0.75,wast
refund,denied customer,-0.75,denied custom
resolve,customers problem,-0.75,customers problem
resolve,problem absolutely,-0.75,problem absolut
resolve,problem asked,-0.75,problem ask
resolve,problem case,-0.75,problem cas
resolve,problem play,-0.75,problem plai
response,totally frustrated,-0.75,totally frustr
response,useless customer,-0.75,useless custom
service,executive useless,-0.75,executive useless
service,looked wrong,-0.75,looked wrong
service,package delayed,-0.75,package delai
service,pathetic agent,-0.75,pathetic ag
service,pathetic customer,-0.75,pathetic custom
service,wasted time,-0.75,wasted tim
support,team incompetent,-0.75,team incompet
support,team pathetic,-0.75,team pathet
update,order pathetic,-0.75,order pathet
experience,pathetic,-0.75,pathet
app,useless,-0.75,useless
app,fraud,-0.75,fraud
experience,overall bad,-0.75,overall bad
customer care,pathetic,-0.75,pathet
experience,absolutely bad,-0.75,absolutely bad
experience,absolutely pathetic,-0.75,absolutely pathet
experience,app bad,-0.75,app bad
service,app bad,-0.75,app bad
experience,awful,-0.75,aw
support,bad customer,-0.75,bad custom
response,bad,-0.75,bad
experience,bad service,-0.75,bad servic
service,bad service,-0.75,bad servic
call,body bother,-0.75,body both
call,bother,-0.75,bother
resolve,bother call,-0.75,bother cal
service,bother customer,-0.75,bother custom
resolve,bothering,-0.75,bother
service,cancel,-0.75,cancel
app,effort useless,-0.75,effort useless
app,extremely pathetic,-0.75,extremely pathet
app,fake,-0.75,fake
service,feel bad,-0.75,feel bad
experience,going pathetic,-0.75,going pathet
response,got shocking,-0.75,got shock
customer care,horrible,-0.75,horribl
experience,horrible,-0.75,horribl
service,horrible,-0.75,horribl
response,horrible terms,-0.75,horrible term
resolve,inability assistants,-0.75,inability assist
app,incorrect showing,-0.75,incorrect show
service,issue pathetic,-0.75,issue pathet
service,month pathetic,-0.75,month pathet
service,much unhappy,-0.75,much unhappi
service,order pathetic,-0.75,order pathet
app,pathetic,-0.75,pathet
support,pathetic customer,-0.75,pathetic custom
service,pathetic see,-0.75,pathetic se
response,pathetic service,-0.75,pathetic servic
support,pathetic,-0.75,pathet
service,pending pathetic,-0.75,pending pathet
service,phone pathetic,-0.75,phone pathet
experience,problem asked,-0.75,problem ask
app,problem customer,-0.75,problem custom
resolve,problem got,-0.75,problem got
service,problem,-0.75,problem
service,product pathetic,-0.75,product pathet
app,raha bad,-0.75,raha bad
experience,really bad,-0.75,really bad
response,shocking,-0.75,shock
experience,since bad,-0.75,since bad
experience,slow painful,-0.75,slow pain
experience,still bad,-0.75,still bad
resolve,still problem,-0.75,still problem
experience,switche bad,-0.75,switche bad
service,tata bad,-0.75,tata bad
app,terrible,-0.75,terribl
experience,terrible,-0.75,terribl
response,tired waiting,-0.75,tired wait
